Date,Region,Product,Revenue,Units,Customers,Customer Retention,Average Order Value
2025-05-15,Europe,Nexus Cloud Analytics,190000,127,114,85.2,1500
2025-05-15,Asia-Pacific,Nexus Enterprise Suite,320000,64,58,89.0,5000
2025-05-15,Asia-Pacific,Nexus Cloud Analytics,180000,120,109,87.1,1500
2025-06-15,North America,Nexus Enterprise Suite,495000,99,87,91.0,5000
2025-06-15,North America,Nexus Cloud Analytics,260000,173,153,88.9,1500
2025-06-15,Europe,Nexus Enterprise Suite,315000,63,57,83.1,5000
2025-06-15,Europe,Nexus Cloud Analytics,170000,113,101,82.0,1500
2025-06-15,Asia-Pacific,Nexus Enterprise Suite,305000,61,55,87.4,5000
2025-06-15,Asia-Pacific,Nexus Cloud Analytics,175000,117,105,86.0,1500
2025-07-15,North America,Nexus Enterprise Suite,460000,92,80,88.5,5000
2025-07-15,North America,Nexus Cloud Analytics,245000,163,144,86.2,1500
2025-07-15,Europe,Nexus Enterprise Suite,270000,54,48,78.6,5000
2025-07-15,Europe,Nexus Cloud Analytics,150000,100,89,77.5,1500
2025-07-15,Asia-Pacific,Nexus Enterprise Suite,290000,58,52,85.2,5000
2025-07-15,Asia-Pacific,Nexus Cloud Analytics,165000,110,99,84.1,1500
2025-08-15,North America,Nexus Enterprise Suite,430000,86,75,85.0,5000
2025-08-15,North America,Nexus Cloud Analytics,230000,153,135,84.0,1500
2025-08-15,Europe,Nexus Enterprise Suite,225000,45,40,73.4,5000
2025-08-15,Europe,Nexus Cloud Analytics,135000,90,80,74.1,1500
2025-08-15,Asia-Pacific,Nexus Enterprise Suite,275000,55,49,83.0,5000
2025-08-15,Asia-Pacific,Nexus Cloud Analytics,155000,103,93,82.5,1500
2025-09-15,North America,Nexus Enterprise Suite,405000,81,71,82.3,5000
2025-09-15,North America,Nexus Cloud Analytics,220000,147,129,81.5,1500
2025-09-15,Europe,Nexus Enterprise Suite,195000,39,34,68.2,5000
2025-09-15,Europe,Nexus Cloud Analytics,120000,80,71,70.5,1500
2025-09-15,Asia-Pacific,Nexus Enterprise Suite,260000,52,46,81.0,5000
2025-09-15,Asia-Pacific,Nexus Cloud Analytics,145000,97,87,80.1,1500
2025-10-15,North America,Nexus Enterprise Suite,385000,77,67,80.1,5000
2025-10-15,North America,Nexus Cloud Analytics,210000,140,123,79.8,1500
2025-10-15,Europe,Nexus Enterprise Suite,180000,36,31,64.5,5000
2025-10-15,Europe,Nexus Cloud Analytics,110000,73,65,67.2,1500
2025-10-15,Asia-Pacific,Nexus Enterprise Suite,245000,49,43,79.0,5000
2025-10-15,Asia-Pacific,Nexus Cloud Analytics,140000,93,83,78.5,1500
2025-11-15,North America,Nexus Enterprise Suite,370000,74,64,78.4,5000
2025-11-15,North America,Nexus Cloud Analytics,205000,137,120,78.2,1500
2025-11-15,Europe,Nexus Enterprise Suite,165000,33,28,61.0,5000
2025-11-15,Europe,Nexus Cloud Analytics,105000,70,62,65.1,1500
2025-11-15,Asia-Pacific,Nexus Enterprise Suite,235000,47,41,77.5,5000
2025-11-15,Asia-Pacific,Nexus Cloud Analytics,135000,90,80,77.0,1500
2025-12-15,North America,Nexus Enterprise Suite,360000,72,62,76.8,5000
2025-12-15,North America,Nexus Cloud Analytics,200000,133,116,77.0,1500
2025-12-15,Europe,Nexus Enterprise Suite,150000,30,25,58.2,5000
2025-12-15,Europe,Nexus Cloud Analytics,95000,63,55,62.8,1500
2025-12-15,Asia-Pacific,Nexus Enterprise Suite,220000,44,38,75.9,5000
2025-12-15,Asia-Pacific,Nexus Cloud Analytics,130000,87,77,75.4,1500
